Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
ELEC,Los Angeles Convention Center,1201 S Figueroa St,West hall and South hall,Los Angeles,CA,90015,,213-741-1151,E,,Public,24 hours daily; pay lot,,,,,,12,,,Non-Networked,,200-9,34.04057,-118.268762,2019-05-09,1523,2020-01-21 18:34:38 UTC,P,,,1995-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,,,,,,,,,,
ELEC,Cherokee & Hollywood Parking Garage,1718 N Cherokee Ave,,Los Angeles,CA,90028,,213-550-9904,E,,Public,24 hours daily; pay lot,,,,,,4,,,Non-Networked,,200-8,34.102404,-118.334758,2019-05-09,1526,2020-01-21 18:34:38 UTC,P,,,1995-08-15,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,
ELEC,California Air Resources Board,9530 Telstar Ave,,El Monte,CA,91731,,626-575-6800,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,GPS,34.06872,-118.064,2019-09-09,1583,2020-01-21 18:34:38 UTC,SG,,,1996-10-15,,,,,J1772,US,,,,Public,,public,,,STATE_GOV,,,,,,,Free,,,,,,,,,
ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,"Patient Parking Structure, level G",La Jolla,CA,92037,,858-554-9100,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,32.89947,-117.243,2019-12-12,6355,2020-01-21 18:34:38 UTC,P,,,1997-07-30,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,Pay to Park,,,,,,,,,
ELEC,San Diego Wild Animal Park,15500 San Pasqual Valley Rd,,Escondido,CA,92027,,760-747-8702,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,33.098589,-117.004433,2019-02-06,6384,2020-01-21 18:34:38 UTC,P,,,2014-09-02,,,,,J1772,US,,,,Public,,public,,,PAY_LOT,,,,,,,Free,,,,,,,,,
ELEC,Galpin Motors,15421 Roscoe Blvd,,Sepulveda,CA,91343,,800-256-6219,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,34.221665,-118.468371,2019-05-09,6405,2020-01-21 18:34:38 UTC,P,,,2012-12-11,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
ELEC,Galleria at Tyler,1299 Galleria at Tyler,,Riverside,CA,92503,,951-351-3110,E,,Public,6am-12am daily,,,,,,4,,,Non-Networked,,GPS,33.909914,-117.459053,2020-02-06,6425,2020-02-06 21:24:11 UTC,P,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,,Pasadena,CA,91103,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,16,,,Non-Networked,,200-8,34.14762,-118.147111,2020-04-08,6505,2020-04-08 12:29:55 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,200-8,34.145015,-118.152223,2019-05-09,6506,2020-08-11 20:05:30 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,,,,,,3,,,Non-Networked,,200-8,34.144506,-118.150015,2019-05-09,6507,2020-08-11 20:05:30 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,
