Vehicle,Type,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,Total
Chevy Volt,PHEV,7671,23461,23094,18805,15393,24739,20349,18306,4915,156733
Nissan Leaf,EV,9674,9819,22610,30200,17269,14006,11230,14715,12365,141888
Smart ED,EV,342,139,923,2594,1387,657,544,1219,680,8485
Mitsubishi I EV,EV,76,588,1029,196,115,94,6,NA,NA,2104
BMW Active E,EV,NA,673,NA,NA,NA,NA,NA,NA,NA,673
Prius PHEV,PHEV,NA,12749,12088,13264,4191,2474,20936,27595,23630,116927
Ford Focus EV,EV,NA,683,1738,1964,1582,901,1817,560,NA,9245
Honda Fit EV,EV,NA,93,569,407,2,NA,NA,NA,NA,1071
Tesla Model S,EV,NA,2400,19400,16750,26200,30200,26500,25745,15090,162285
Toyota RAV4 EV,EV,NA,192,1005,1184,18,NA,NA,NA,NA,2399
Ford C-Max Energi,PHEV,NA,2374,7154,8433,7591,7957,8140,582,NA,42231
Honda Accord,PHEV,NA,NA,526,449,64,NA,NA,NA,NA,1039
Ford Fusion Energi,PHEV,NA,NA,6089,11550,9750,15938,9632,8074,7476,68509
Chevy Spark,EV,NA,NA,560,1145,2629,3035,23,7,NA,7399
Fiat 500E,EV,NA,NA,260,1503,3477,3737,3336,2250,632,15195
Porsche Panamera S E-Hybrid,PHEV,NA,NA,51,879,407,393,18,2036,1958,5742
Cadillac ELR,PHEV,NA,NA,6,1310,1024,534,17,1,NA,2892
BMW i3,EV,NA,NA,NA,6092,11024,7625,6276,6117,4854,41988
Mercedes B-Class (B250e),EV,NA,NA,NA,774,1906,632,744,135,9,4200
BMW i8,PHEV,NA,NA,NA,555,2265,1594,488,772,1102,6776
VW e-Golf,EV,NA,NA,NA,357,4232,3937,3534,1354,4863,18277
Kia Soul EV,EV,NA,NA,NA,359,1015,1728,2157,1134,114,6507
Porsche Cayenne S E-Hybrid,PHEV,NA,NA,NA,112,1163,2111,1574,1022,1140,7122
Mercedes S550 Plug,PHEV,NA,NA,NA,NA,118,550,666,96,371,1801
Volvo-XC90 Plug In,PHEV,NA,NA,NA,NA,86,2015,2358,1387,1710,7556
Tesla Model X,EV,NA,NA,NA,NA,208,19600,21700,26100,19425,87033
BMW X5,PHEV,NA,NA,NA,NA,892,5995,5349,4434,167,16837
Hyundai Sonata Plug In,PHEV,NA,NA,NA,NA,15,3000,2254,460,456,6185
Audi A3 Plug In,PHEV,NA,NA,NA,NA,NA,4280,2877,2597,437,10191
BMW 3-series Plug-In,PHEV,NA,NA,NA,NA,NA,880,4141,2600,705,8326
Mercedes GLE 550e,PHEV,NA,NA,NA,NA,NA,231,463,966,1509,3169
BMW 7-series Plug-in,PHEV,NA,NA,NA,NA,NA,23,707,339,80,1149
Mercedes C350We,PHEV,NA,NA,NA,NA,NA,171,817,1721,2172,4881
Chevy Bolt,EV,NA,NA,NA,NA,NA,579,23297,18019,16313,58208
Kia Optima Plug-in,PHEV,NA,NA,NA,NA,NA,NA,1512,965,350,2827
Hyundai Ioniq EV,EV,NA,NA,NA,NA,NA,NA,432,345,739,1516
Chrysler Pacifica Plug-in Hybrid,PHEV,NA,NA,NA,NA,NA,NA,2981,7062,5811,15854
Cadillac CT6,PHEV,NA,NA,NA,NA,NA,NA,205,231,25,461
BMW 5-Series Plug in,PHEV,NA,NA,NA,NA,NA,NA,3759,8664,5442,17865
MINI Countryman S E,PHEV,NA,NA,NA,NA,NA,NA,475,1564,494,2533
Porsche Panamera 4 E-H,PHEV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tesla Model 3,EV,NA,NA,NA,NA,NA,NA,1770,139782,154840,296392
Honda Clarity BEV,EV,NA,NA,NA,NA,NA,NA,1126,948,742,2816
Volvo XC60 Plug In,PHEV,NA,NA,NA,NA,NA,NA,356,2267,1682,4305
Volvo S90 Plug In,PHEV,NA,NA,NA,NA,NA,NA,112,437,407,956
Honda Clarity Plug-in,PHEV,NA,NA,NA,NA,NA,NA,903,18602,10728,30233
Mitsubishi Outlander Plug In,PHEV,NA,NA,NA,NA,NA,NA,NA,4166,2810,6976
Hyundai Ioniq Plug-In,PHEV,NA,NA,NA,NA,NA,NA,NA,1590,1765,3355
Kia Niro Plug In,PHEV,NA,NA,NA,NA,NA,NA,NA,3389,4051,7440
Mercedes GLC 350e Hybrid,PHEV,NA,NA,NA,NA,NA,NA,NA,567,2459,3026
Jaguar I-Pace,EV,NA,NA,NA,NA,NA,NA,NA,393,2594,2987
Hyundai Kona Electric,EV,NA,NA,NA,NA,NA,NA,NA,NA,1721,1721
Subaru Crosstrek Hybrid,PHEV,NA,NA,NA,NA,NA,NA,NA,NA,880,880
Audi e-tron,EV,NA,NA,NA,NA,NA,NA,NA,NA,5369,5369
Kia Niro EV,EV,NA,NA,NA,NA,NA,NA,NA,NA,1562,1562
Total,,17763,53171,97102,118882,114023,159616,195581,361315,326644,1444097
